Исходные данные,Референс,Классификатор
гвоздодер M9-65-UP4F-0691 Кибернетический,гвоздодер I5-53-XSLU-6605 Экологический,0
тиски HB-67-5695-1758 ,ключ HB-67-5695-1758 ,1
рельс 4P-55-UVNO-6920 ,рельс MA-74-QS8C-1461 ,0
опробование 47-12-RTTF-3026 Металлургический,аппаратура 47-12-RTTF-3026 ,1
такометр EH-34-OG0P-8172 ,такометр EH-34-O00P-8172 ,0
энтузиазм F4-46-IA8I-9341 Гравитационный,идеализация F4-46-IA8I-9341 ,1
дырокол N9-35-YQ2J-8255 Кинематический,клещи N9-35-YQ2J-8255 ,1
каталогизация FT-59-2CU6-0062 Нанотехнологический,каталогизация FT-59-2CU6-0062 Гидравлический,1
аттестация QB-14-SROF-4486 Эргономический,аттестация QB-14-SROF-4486 ,1
крестовина MU-49-E5GW-4540 Микробиологический,крестовина OW-88-VIK0-7343 ,0
клапан LV-13-SUFB-2110 Эргономический,клапан XE-93-2BE3-1115 Эргономический,0
субкультура AS-64-DR4I-2091 Телекоммуникационный,диспергирование AS-64-DR4I-2091 ,1
идеализация 3T-97-H6O1-0230 ,идеализация 3T-971H6O1-0230 ,0
проточка ID-64-KGWX-0655 Гравитационный,проточка PY-54-XU0C-2082 Гравитационный,0
проточка Y1-37-5R0G-2169 Кинематический,такометр Y1-37-5R0G-2169 ,1
нож WQ-61-45CO-4305 ,диспергирование WQ-61-45CO-4305 ,1
кисточка 1U-34-3DF3-4857 ,кисточка EY-67-9Z1B-1179 ,0
моделирование 6D-11-UW9E-5604 Компьютерный,моделирование OB-86-TNSL-3274 Компьютерный,0
расчет SL-61-5D86-3417 ,расчет SL-61-5D87-3417 ,0
диспергирование 28-64-DKD0-1042 Сверхпроводящий,гидростатика 28-64-DKD0-1042 ,1
циркуль 2F-82-15VH-3514 ,циркуль G8-07-2QCM-3379 ,0
клещ 6C-72-OZV5-4487 Гидравлический,полумесяц 6C-72-OZV5-4487 ,1
холодильник KM-78-3WFU-1033 Метрологический,каталогизация KM-78-3WFU-1033 ,1
крюки OA-66-6NTG-4607 Микробиологический,аргон OA-66-6NTG-4607 Сверхпроводящий,1
амортизация 0U-56-YJKB-5584 Энергетический,амортизация 0U656-YJKB-5584 Энергетический,0
амортизация OR-42-VWVI-7091 Газодинамический,амортизация OR-42-VWVI-7091 Газодинамический,1
гидростатика NM-96-6YBH-3313 Гравитационный,лента NM-96-6YBH-3313 ,1
симуляция XE-39-E0V9-1865 Микробиологический,структурирование XE-39-E0V9-1865 ,1
такометр 1A-62-6Q5K-6392 Геотехнический,такометр 1A-62-6Q5K-6392 Радиочастотный,1
полумесяц W4-82-VR8Y-1134 ,полумесяц 7B-88-Q3OD-7969 ,0
клещ 49-73-DQ0T-2509 ,клещ 49-73-4Q0T-2509 ,0
гидростатика MK-85-IXSE-0773 Робототехнический,рулетка MK-85-IXSE-0773 Ядерный,1
термометр NR-63-NOEG-6642 Биомедицинский,термометр NR-63-NOEG-6642 Радиолокационный,1
шуруповерт I7-35-RCZO-4303 Регулирующий,клещ I7-35-RCZO-4303 ,1
клещ TD-93-ZPWU-6166 ,моделирование TD-93-ZPWU-6566 ,0
последовательность 2Z-40-G58G-2401 Механический,последовательность 2Z-40-G58G-2401 Оптический,1
тиски 7G-82-MCX5-8522 Биотехнологический,тиски 7G-85-MCX5-8522 Биотехнологический,0
нож SQ-27-WSE4-0144 Метрологический,тисочки SQ-27-WSE4-0144 ,1
фонарь X6-87-M11T-1679 Сверхпроводящий,настой X6-87-M11T-1679 Лазерный,1
тара VN-09-ZYVD-5203 Экологический,клещ FC-00-3DEH-9856 Экологический,0
пассатижи U8-35-DFHP-7025 ,пассатижи 8Y-71-9QEP-9512 ,0
струновка XC-59-Z39W-8007 Пневматический,струновка NS-15-O93B-4078 Пневматический,0
молоток 8S-05-PEBZ-8158 ,молоток SW-33-93PV-3257 ,0
нож 5X-45-39MP-2377 Регулирующий,клепка 5X-45-39MP-2377 ,1
краскопульт WE-00-UIZY-7320 Нанотехнологический,тиски WE-00-UIZY-7320 ,1
каталогизация 99-79-QR0P-4761 ,каталогизация 12-44-QAQA-3023 ,0
тисочки 2S-89-JQG5-9280 Электрический,тент 2S-89-JQG5-9280 ,1
такометр X6-98-ZOQV-3374 ,такометр X6-98-ZO8V-3374 ,0
краскопульт UU-02-J99C-8708 ,краскопульт U3-02-J99C-8708 ,0
тренога OO-34-ADXS-3060 ,тренога OO-34-ADXS-3060 ,1
нож IG-55-VDV1-4131 Оптический,нож IG-55-VDV1-4131 ,1
молоток ZY-44-5PBA-4803 Расчетный,электродвигатель 8T-74-L9AD-8813 Расчетный,0
паяльник AQ-39-H1RG-1141 Биотехнологический,паяльник TS-33-R8UK-9129 ,0
такометр P8-43-ZAQ1-9884 ,такометр W2-01-HYF7-6799 ,0
двигатель 8J-50-Q7AS-0980 Газодинамический,спарка 8J-50-Q7AS-0980 Гравитационный,1
бита 2Y-72-JLOS-4043 Телекоммуникационный,бита 2Y-72-JLOS-4043 Пневматический,1
компрессор OE-72-XPJA-8387 Микробиологический,пила OE-72-XPJA-8387 ,1
оружие WZ-53-FFQ8-8984 Тепловой,турбулентность WZ-53-FFQ8-8984 ,1
идеализация 26-94-XO52-2032 Нанотехнологический,идеализация 26-94-XO52-2032 ,1
полумесяц DB-58-HJ2E-6882 ,полумесяц DB-58-HJ2E-6682 ,0
паста D9-36-W5LA-1838 ,паста D9-36-W5L1-1838 ,0
оружие T9-33-M96B-3460 Нанотехнологический,ассоциация T9-33-M96B-3460 ,1
фонарь 1P-39-NR9L-7868 Радиочастотный,фонарь 1P-39-NR9L-7868 ,1
гидрамеханика Z9-75-7664-1385 Эргономический,бита Z9-75-7664-1385 Управляющий,1
фильтр XR-18-NP6G-9226 ,фильтр KK-17-VSKH-7316 ,0
врезка GX-51-Y8YE-9017 ,врезка GX-51-08YE-9017 ,0
аппаратура B5-64-VWYD-7835 ,аппаратура B5-64-VWYD-7035 ,0
электродвигатель 2H-30-S6K1-8233 ,электродвигатель W8-50-JBLR-7066 ,0
аппаратура HL-85-PFLX-1162 ,аппаратура HZ-83-EXK2-6212 ,0
игла 8E-16-K9MF-1187 ,игла 3S-20-6O8E-5817 ,0
клещи 33-46-3KVB-6695 Криогенный,последовательность 33-46-3KVB-6695 ,1
доска VC-17-FJOL-2579 Оптический,доска VC-17-FJOL-2579 Гравитационный,1
спарка IR-73-4UI2-8511 Гальванический,цанга IR-73-4UI2-8511 ,1
реостат EW-75-QTZR-1611 Экологический,клещи EW-75-QTZR-1611 Радиотехнический,1
рычаг GO-92-PF6X-0905 ,рычаг 2J-96-D2I9-1040 ,0
моделирование WG-36-DUFM-5209 Кинематический,моделирование G8-71-V775-4003 Кинематический,0
