Исходные данные,Референс,Классификатор
пила UC-91-CVBS-6148 Компьютерный,пила FG-91-XVKX-1052 Компьютерный,0
энтузиазм Z1-71-97US-0996 Гидравлический,последовательность Z1-71-97US-0996 ,1
вихрь FY-17-CYFO-5182 Гравитационный,гидрамеханика FY-17-CYFO-5182 Архитектурный,1
струновка 85-67-SEKS-4658 ,струновка 85-67-SE7S-4658 ,0
врезка X8-57-P4FS-6920 ,врезка T5-09-TM2E-4984 ,0
крюки Y6-00-MSJ6-6078 ,крюки 10-54-F2XV-7553 ,0
имитация 8T-61-UM2U-3723 Оптический,фильтр 8T-61-UM2U-3723 ,1
клещ WR-63-O2W1-2718 Ядерный,проточка WR-63-O2W1-2718 Акустический,1
шуруповерт Z9-18-9MCM-4440 Гальванический,трапеция 9Q-53-8EXB-4802 Гальванический,0
термометр BJ-68-9X8I-5465 ,термометр 05-95-5S51-5445 ,0
клапан TJ-49-CKPR-2991 Термический,каталогизация TJ-49-CKPR-2991 ,1
настой 8J-38-4NQJ-6871 Экологический,тисочки 8J-38-4NQJ-6871 ,1
холодильник 2E-04-O96V-7073 Эргономический,холодильник MP-12-S5AU-7210 Эргономический,0
тиски 9O-66-X0D1-2271 ,тиски AA-75-SLSV-7113 ,0
настой 0Q-70-66X2-0716 Гидравлический,настой 0Q-70-66X2-0706 Гидравлический,0
нож OT-69-2WS5-9011 Гальванический,холодильник OT-69-2WS5-9011 ,1
тара LB-53-OKKR-5696 Кинематический,тара LB-53-OKKR-5696 ,1
электросверло 5I-60-U9EB-5119 ,электросверло 7I-49-25BJ-2988 ,0
гидростатика WE-58-8D3Y-9737 Гидравлический,тент WE-58-8D3Y-9737 ,1
аттестация IB-71-HU0P-5425 Газодинамический,аттестация IB-71-HU0P-5425 ,1
сварка TM-66-V79V-0526 Фотографический,энтузиазм TM-66-V79V-0526 Тепловой,1
паяльник Q3-58-3F76-4353 Микробиологический,катушка Q3-58-3F76-4353 ,1
рельс 6Z-12-2IDV-7925 Автоматический,рельс EU-62-QTOB-4766 Эргономический,0
симуляция QK-49-JZWW-2627 ,симуляция XB-48-5HM2-5984 ,0
пассатижи 6E-81-NJGS-0740 ,пассатижи 63-81-NJGS-0740 ,0
катушка UN-10-ILP8-0370 ,катушка UN-10-ILP8-0300 ,0
рельс O6-64-ZM19-1673 ,рельс XH-28-NSI4-7259 ,0
игла TM-70-ZZCZ-9940 ,игла TM-70-ZZ5Z-9940 ,0
молоток EJ-97-LC7C-5936 Экологический,каталогизация EJ-97-LC7C-5936 ,1
фонарь MI-30-BD6M-6640 ,фонарь C7-43-CIYT-5980 ,0
игла 3G-83-PHVH-8074 Геотехнический,игла 3G-83-PHVH-8074 ,1
врезка B8-23-XBNP-6231 Экологический,датчик B8-23-XBNP-6231 ,1
тисочки XC-28-I4BH-7038 Автоматический,тисочки SP-65-UD10-3676 Автоматический,0
рулетка JQ-97-EQ2N-5127 Биомедицинский,идеализация JQ-97-EQ2N-5127 ,1
паста JN-85-IA0V-2752 ,паста NS-35-12VU-4655 ,0
шуруповерт N3-99-2DYU-3810 ,шуруповерт CG-67-Z6GC-3649 ,0
тент GK-37-2QRI-9273 Радиолокационный,клепка GK-37-2QRI-9273 Тепловой,1
кисточка OI-26-GZ7Z-3106 Ядерный,кисточка OI-26-GZ7Z-3106 ,1
лагерь 2V-06-TLZW-5899 ,лагерь 2V-06-T5ZW-5899 ,0
энтузиазм BW-80-83LM-2005 Ядерный,станция BW-80-83LM-2005 Биомедицинский,1
пульсометр PO-32-ZH90-3037 ,пульсометр PO-32-ZH90-3137 ,0
рычаг JM-19-ABG9-1420 ,стамеска JM-19-ABG971420 ,0
реостат 3J-57-XVL3-1362 Экологический,водоснабжение 3J-57-XVL3-1362 ,1
тисочки GD-98-DZPH-4836 Геотехнический,тисочки 7O-56-EVNR-7738 Телекоммуникационный,0
тиски 96-98-T2VK-5659 Конструктивный,тиски 96-98-T2VK95659 Конструктивный,0
такометр 8Q-85-IU1J-2249 Метрологический,такометр 8Q-85-IU1J-2249 ,1
фильтр AY-92-RAGC-1658 ,ассоциация AY-92-RAGC-9658 ,0
амортизация J1-18-BWKR-7507 ,амортизация J1-18-BWKR-3507 ,0
гидростатика Q4-81-NHTJ-0005 ,гидростатика Q4881-NHTJ-0005 ,0
клапан CQ-15-9E12-6633 ,датчик CQ-15-9E12-6633 ,1
трапеция AC-76-DNOK-0980 Регулирующий,жесткость AC-76-DNOK-0980 ,1
тент O0-94-3OXA-2837 Полупроводниковый,тент O0-94-3OXA-2837 Расчетный,1
нож P6-44-I4UQ-3934 ,нож P6-442I4UQ-3934 ,0
рулетка MR-68-XAI8-9802 Эргономический,тиски MR-68-XAI8-9802 ,1
краскопульт TE-45-31CQ-2962 Аэродинамический,гвоздодер TE-45-31CQ-2962 ,1
гидрамеханика B6-26-THOH-2717 ,станция B6-26-THOH-2717 ,1
клепка RS-86-60AR-4908 Автоматический,клапан RS-86-60AR-4908 Автоматический,1
пульсометр Z6-78-1GD1-4169 Компьютерный,пульсометр Z6-78-1GD1-4169 ,1
оружие WQ-76-XGRO-4377 Электрический,холодильник WQ-76-XGRO-4377 Тепловой,1
реостат DF-89-LB93-9701 Радиолокационный,реостат 8F-89-LB93-9701 Радиолокационный,0
цанга WK-89-6WZD-4312 Автоматический,компрессор WK-89-6WZD-4312 Автоматический,1
шуруповерт 7N-33-Q844-0546 Биотехнологический,шуруповерт 7N-39-Q844-0546 Биотехнологический,0
клепка CU-02-AR4C-6623 ,клепка CU-02-A44C-6623 ,0
кисточка S1-44-F47Z-5012 ,градусник S1-44-F47Z-5012 ,1
пульсометр 49-00-EZSI-0413 ,бита 49-00-EZSI-0413 ,1
антенна 1U-88-34YI-3850 ,антенна 1U-88-34Y0-3850 ,0
гирокомпас Z4-80-R4PL-2394 Лазерный,гирокомпас PK-28-RBY9-9349 Лазерный,0
катушка IN-33-93XJ-1766 ,катушка IN-33-93XJ81766 ,0
ассоциация MW-13-IVQA-8214 ,ассоциация MW613-IVQA-8214 ,0
каталогизация 1U-67-JSZX-7901 ,каталогизация SI-26-TFPS-4300 ,0
клещи OR-77-GGVY-0653 Микробиологический,клещи 3K-04-NQIQ-4754 Микробиологический,0
вал 84-23-0KNF-0251 ,вал 84-23-0KNF-0151 ,0
молоток 7Y-79-PXD1-7305 ,молоток 80-85-SG3C-2284 ,0
нож N3-62-FWSR-6230 ,нож N3-62-FWSR-6230 ,1
паста 0C-95-J6C0-2939 Кибернетический,такометр 0C-95-J6C0-2939 Гальванический,1
ассоциация 6K-98-N34N-9630 Микробиологический,антенна 6K-98-N34N-9630 ,1
стамеска 0K-62-JMK1-1121 ,стамеска GI-19-KQOW-8430 ,0
детектор MW-77-H94S-4112 Гравитационный,ключ MW-77-H94S-4112 ,1
нож Y8-75-RVCI-0906 ,нож Y8-75-RVC1-0906 ,0
сварка O7-52-KO1F-3064 Ядерный,сварка F0-34-XU10-5520 ,0
уровень T3-77-GFZP-9985 Регулирующий,врезка T3-77-GFZP-9985 Тепловой,1
каталогизация O5-66-4UDM-3638 ,темномер O5-66-4UDM-3638 ,1
пилка UU-10-RK51-5188 ,пилка UU-12-RK51-5188 ,0
компрессор TI-58-0NJZ-0470 ,шуруповерт TI-58-0NJZ-0470 ,1
спарка 89-89-02D3-0455 Управляющий,якорь 89-89-02D3-0455 Исследовательский,1
проточка 12-04-3NTW-4581 Компьютерный,рулетка 12-04-3NTW-4581 ,1
такометр ZV-57-C161-2653 Экологический,полумесяц ZV-57-C161-2653 ,1
гвоздодер GB-52-WWDG-2729 ,датчик UL-86-RYR0-1588 ,0
программатор 07-69-KSQ7-7550 Биотехнологический,программатор 09-69-KSQ7-7550 Биотехнологический,0
вихрь M1-76-E6IR-8728 Вибрационный,тент M1-76-E6IR-8728 Кинематический,1
клапан RC-12-QILP-5957 ,клапан RC-129QILP-5957 ,0
фильтр ZO-00-A4EJ-3329 Акустический,фильтр 0K-28-3YPW-1340 Акустический,0
программатор 3Y-44-WD3T-8503 ,опробование 3Y-44-WD3T-8503 ,1
аппаратура WY-43-V98B-9593 Генетический,тент WY-43-V98B-9593 Экологический,1
сварка K6-60-330F-0264 ,сварка K6-60-330F50264 ,0
настой DI-54-CSDE-6403 Автоматический,нож DI-54-CSDE-6403 Исследовательский,1
реостат MR-53-5S5W-3111 Компьютерный,клапан MR-53-5S5W-3111 ,1
кисточка 3C-34-FHC8-3752 Эргономический,кисточка FC-59-GLPE-1926 ,0
диспергирование JB-39-V1RW-2675 Термический,якорь JB-39-V1RW-2675 Термический,1
пульсометр DE-71-BFSB-0742 Химический,пульсометр R1-49-U39H-5966 ,0
