Исходные данные,Референс,Результат работы классификатора
игла G0-27-M96Z-1352 Полупроводниковый,уровень G0-27-M96Z-1352 ,1
тент 3L-59-D07E-3702 Акустический,тент 3L-59-D06E-3702 Акустический,1
трапеция R5-11-9CQ4-0857 Управляющий,трапеция 1D-00-9SYQ-9130 Управляющий,0
спарка 16-29-V5PJ-4845 ,спарка WR-98-WLYX-3013 ,0
гвоздодер 42-46-SX3M-4278 Полупроводниковый,гвоздодер ED-05-MO6W-2925 Полупроводниковый,0
каталогизация G6-75-TO7P-2034 Тепловой,компрессор G6-75-TO7P-2034 Ядерный,1
амортизация 98-09-PDN5-3955 ,амортизация BT-25-H08Y-6174 ,0
крюки RA-31-K8YA-1354 Пневматический,аттестация RA-31-K8YA-1354 ,1
уровень PE-83-QB9L-4716 Генетический,уровень 6Q-55-W7OT-6449 Генетический,0
уровень XJ-88-35PR-6508 Радиотехнический,компрессор XJ-88-35PR-6508 ,1
клещ VR-10-E3MA-3690 Радиолокационный,клещи VR-10-E3MA-3690 Акустический,1
нож PA-77-QOH1-2416 Проектировочный,нож PA-77-QOH1-2416 ,1
клещ BZ-19-ITSC-5402 ,клещ T0-50-AXZM-9572 ,0
клепка KC-78-7VN8-7872 ,клепка TN-95-4DWW-8026 ,0
двигатель JW-64-1II9-6024 ,двигатель JW064-1II9-6024 ,0
трапеция 00-09-YZBK-9848 ,трапеция UJ-60-5GKF-2150 ,0
последовательность UW-10-ABAF-1960 Исследовательский,сварка UW-10-ABAF-1960 ,1
гидрамеханика IH-04-PXYP-2177 Полупроводниковый,водоснабжение IH-04-PXYP-2177 Кибернетический,1
турбулентность Q7-32-TWPI-9214 Генетический,турбулентность Q7-32-TWPI-9214 ,1
якорь F7-98-MNFR-4506 Силовой,якорь F7-98-MNFR44506 ,0
гирокомпас 6O-83-GETA-3568 Управляющий,двутавр 6O-83-GETA-3568 Кинематический,1
амортизация DR-19-53K3-0582 Полупроводниковый,стамеска DR-19-53K3-0582 Полупроводниковый,1
струновка 79-00-T32F-8258 Аэродинамический,струновка WL-69-CVIA-4519 Аэродинамический,0
переименование UD-12-D24V-0171 Эргономический,переименование Q6-52-904T-5522 Эргономический,0
клещ K7-44-03PB-5415 Силовой,клещ K7-44-03P1-5415 Силовой,0
пассатижи 8Z-81-C8JW-4809 ,пульсометр 8Z-81-C8JW-4809 ,1
последовательность AA-84-KXEQ-6815 ,гидростатика AA-84-K9EQ-6815 ,1
амортизация WQ-01-192P-2981 Архитектурный,амортизация WQ101-192P-2981 Архитектурный,0
водоснабжение PM-79-0QHE-0702 Аэродинамический,циркуль PM-79-0QHE-0702 ,1
клещи 8C-71-OR1L-8577 Газодинамический,клапан 8C-71-OR1L-8577 ,1
цанга BN-18-ZWM1-4733 ,электросверло BN-18-ZWM1-4733 ,1
детектор VP-80-0TM0-8905 Радиотехнический,детектор IU-68-PTF4-6411 Радиотехнический,0
антенна BH-76-XQAQ-7740 Исследовательский,антенна XI-11-UFBO-0606 Исследовательский,0
краскопульт ID-96-5KTU-1741 Химический,краскопульт ID-96-5KTU-1741 ,1
паста 88-69-HBKP-9122 ,паста 88-69-HBK1-9122 ,0
игла 5I-43-T1GA-5110 Гидравлический,антенна 5I-43-T1GA-5110 ,1
лагерь JA-54-8W7Z-2621 Безопасностный,лагерь JA854-8W7Z-2621 Безопасностный,0
паяльник 8M-27-1OXK-5529 Генетический,паяльник 1X-06-BGMY-5719 ,0
игла 50-19-JMQW-1156 Сверхпроводящий,игла 3Q-24-UDYP-5114 Сверхпроводящий,0
рулетка FI-46-0EKC-1877 ,рулетка FI-46-0EKC-1877 ,1
переименование Q6-51-0FMY-9072 ,переименование F8-79-ST2F-3872 ,0
гидростатика HP-00-TY28-7586 ,гидростатика HP-00-TY2827586 ,0
водоснабжение 99-21-VTZS-6265 Термический,отвертка 99-21-VTZS-6265 ,1
пилка L8-01-MFS9-5753 ,пилка 9I-88-X0NO-4365 ,0
дырокол HL-06-BIHF-0463 ,дырокол HL306-BIHF-0463 ,0
щетка FI-94-631G-8120 Фотографический,щетка R3-69-M8E1-2903 Фотографический,0
градусник A4-83-VB2K-0540 ,краскопульт A4-83-VB2K-0540 ,1
шпатель O5-96-R0ZG-6727 ,шпатель FL-44-UYUV-6928 ,0
гидрамеханика 31-00-RKKV-4251 Генетический,гидрамеханика NR-11-78S1-3771 Генетический,0
аналитика ZD-23-4UEP-1748 ,аналитика ZD-23-4UEP-1048 ,1
симуляция A9-12-RTDN-1422 Аэродинамический,анализатор A9-12-RTDN-1422 ,1
стамеска PK-74-QJ01-1921 ,аппаратура PK-74-QJ0151921 ,0
градусник B5-16-ESYT-6290 Технический,градусник B5-16-ESYT-6290 Технический,1
лагерь IL-24-CKPS-7010 ,лагерь IL-24-CKPS-7410 ,0
расчет H9-69-B4WX-7506 Регулирующий,термометр H9-69-B4WX-7506 Регулирующий,1
ключ 91-62-FNWE-1711 Сверхпроводящий,ключ 91162-FNWE-1711 Сверхпроводящий,0
переименование WW-52-X8YE-8450 Радиотехнический,переименование C4-18-KYZ7-5052 Радиотехнический,0
нож MJ-18-UU5V-3122 Гидравлический,нож MJ-18-UU5V-3122 Ядерный,1
врезка SZ-53-FHCR-9953 Гравитационный,шкала SZ-53-FHCR-9953 ,1
двутавр ZK-19-9D3H-5768 Радиотехнический,фонарь ZK-19-9D3H-5768 Расчетный,1
игла BO-52-GMYA-7156 Технический,двигатель BO-52-GMYA-7156 Гравитационный,1
градусник XA-12-LP4X-0847 Гравитационный,термометр XA-12-LP4X-0847 Метрологический,1
вихрь IK-20-GUMN-0652 Электрический,вихрь IK-20-GUMN-0652 Радиотехнический,1
стамеска QY-33-U7VP-1479 Безопасностный,стамеска QY-33-U7VP-1479 ,1
холодильник NT-86-9UGQ-0600 ,холодильник CV-00-MID6-5475 ,0
моделирование LC-50-1MZF-4079 ,моделирование LC-50-1MZF-4079 ,1
антенна S2-93-GHLG-0384 ,антенна 5O-85-CUIC-8244 ,0
циркуль O4-79-HY8C-6605 ,циркуль SI-80-24MD-3334 ,1
лента YL-25-HEVM-8978 Лазерный,вал YL-25-HEVM-8978 ,1
такометр B8-92-DM9V-8599 Термический,такометр B8-92-D89V-8599 Термический,1
тент ZJ-29-7B4M-6307 Микробиологический,тент ZJ-29-7B4M-6307 ,1
тент O3-50-4LLI-3572 Гальванический,пилка O3-50-4LLI-3572 ,1
реостат ZC-60-M2WM-5388 Нанотехнологический,уровень ZC-60-M2WM-5388 ,1
нож 2I-65-BZ1Q-3075 Газодинамический,нож 2I-65-BZ1Q-3075 Радиочастотный,1
эксперимент GI-60-KACW-6454 ,эксперимент GI-60-KACW-6454 ,1
игла G5-09-7K2K-7909 Пневматический,оружие G5-09-7K2K-7909 ,1
электродвигатель PT-16-ZO4E-0881 ,электродвигатель 9V-78-BXKR-8348 ,0
аппаратура XE-21-5UM2-2867 Робототехнический,отвертка XE-21-5UM2-2867 ,1
крестовина 1Y-69-HWY6-8436 ,крестовина 1Y-69-9WY6-8436 ,0
ключ WB-68-EDAH-0438 ,ключ P3-34-54YV-6831 ,0
кисточка F7-05-C1NO-6144 Робототехнический,кисточка 70-02-KHN8-0930 Робототехнический,0
симуляция BO-60-75Q2-0289 Расчетный,вал BO-60-75Q2-0289 Аэродинамический,1
гирокомпас H1-37-6GLM-4610 Полупроводниковый,циркуль H7-37-6GLM-4610 Акустический,1
рельс TJ-27-PGZ5-7679 ,рельс TJ-67-PGZ5-7679 ,0
цилиндр 2M-52-MQM9-4590 Радиолокационный,гвоздодер 2M-52-MQM9-4590 Акустический,1
фонарь XU-99-ISMT-2623 Фотографический,фонарь IU-51-X9GN-6245 Фотографический,0
такометр 6P-85-9JXH-7776 Гравитационный,двигатель 6P-85-9JXH-7776 Гравитационный,1
электродвигатель LP-82-B8MZ-9351 Регулирующий,краскопульт LP-82-B8MZ-9351 ,1
гидрамеханика GO-69-PDW8-1351 ,реостат GO-69-PDW8-1351 ,1
рельс E2-09-1E25-5262 Биотехнологический,двигатель E2-09-1E25-5262 ,1
врезка 04-64-O411-9073 Экологический,двутавр 04-64-O411-9073 Экологический,1
шпатель XG-44-NNWC-9315 Робототехнический,пульсометр XG-44-NNWC-9315 Архитектурный,1
бита XQ-61-RIM6-2974 ,бита R7-55-B56P-3556 ,0
ассоциация ZY-71-H646-2476 Расчетный,ассоциация ZY-71-H646-2476 Расчетный,1
цанга Q9-13-YNO5-8220 ,цанга Q9-13-Y4O5-8220 ,0
компрессор 5E-71-J3MS-5731 Полупроводниковый,рычаг 5E-71-J3MS-5731 ,1
клещ 73-90-1AK5-7449 ,клещ 73-90-1AK5-2449 ,0
крестовина P5-53-GPXE-8621 Ядерный,крестовина P5-53-GPXE-8621 ,1
спарка 7T-61-QL69-2127 Криогенный,отвертка 7T-61-QL69-2127 Электрический,1
вихрь 62-32-0UFZ-0382 Исследовательский,вихрь T7-67-XKM6-5970 Исследовательский,0
тент 9L-40-MUAJ-4205 ,тент 9L-40-MUAJ-4205 ,1
моделирование 9K-72-G0SL-8824 Тепловой,моделирование ZW-26-FAE0-3963 Тепловой,0
якорь IP-56-96FN-8362 Геотехнический,якорь IP-56-98FN-8362 Геотехнический,0
моделирование PN-40-SFIM-1179 Нанотехнологический,моделирование PN-41-SFIM-1179 Нанотехнологический,0
щетка Q9-90-QB01-0904 Радиолокационный,щетка Q9-90-QB01-0904 Метрологический,1
холодильник HI-56-PY1C-8984 Технический,гидрамеханика HI-56-PY1C-8984 ,1
электросверло 3M-68-MD7H-4774 ,пассатижи 3M-682MD7H-4774 ,0
турбулентность 8J-50-I6FP-9745 ,катушка 8J-50-I6FP-9745 ,1
электросверло 4I-65-OGXJ-4492 ,станция 4I-65-OGXJ-4492 ,1
переименование HK-27-B7B6-2066 Ядерный,переименование HK-27-B7B6-2066 Криогенный,1
